id,purpose,go_with,weather,time,viettel_no_0,viettel_no_1,viettel_no_2,to_hanoi,to_other,score,direction
4642,Travel,?!%Alone,Sun?ny,8:00,1,0,0,0,1,0,0
16360,Visit,Al&!one,!??S~unny,6  PM ,1,0,0,1,0,0,1
4849,Work,A?&l%one,Su?&nny,7  AM  ,1,1,1,0,1,11,0
1395,Work,~% !Alone,Sunny,6:00,1,1,0,0,1,0,0
4739,Work,~Alo~ne,Sun%%ny,7:00,1,0,0,1,0,12,1
8103,Travel,F?%&riend(s),%S??%unny,9AM  ,1,0,0,0,1,5,0
8392,Travel,Fr?ie?~%nd(s),S?~!%unny,10:00,1,1,0,0,1,0,0
1253,Travel,F&ri&en%d(s),&S?!~unny,6PM,1,1,0,0,1,3,0
5299,Travel,Family,Su&nny,11:00,1,1,0,0,1,3,0
3843,Visit,%&Alone,~%~?Sunny,3 PM  ,1,1,0,0,1,0,0
19459,Work,A~l%one,S!!&!unny,6:00,1,1,0,0,1,0,0
15993,Work,Alon~e,Sunny,7:00,1,0,0,1,0,0,1
15491,Travel,A&?&%lone,Sunny,11:00,1,0,0,0,1,0,0
5248,Travel,Frien~d(s),Sun&&ny,9:00,1,0,0,0,1,0,0
19988,Travel,F!riend(s),!~~S%unny,11 AM ,1,1,0,0,1,0,0
6980,Travel,F&&amily,?S!%%unny,15:00,1,1,0,0,1,21,0
16088,Visit,Alo~ne,S~unny,16:00,1,0,0,0,1,0,0
2085,Work,A~lone,Sunn?y,7:00,1,1,0,0,1,0,0
18315,Travel,?%&%Alone,?S~&unny,13:00,1,0,0,0,1,0,0
8214,Travel,Frie nd%&(s),~&!S~unny,8 AM ,1,0,0,0,1,0,0
6121,Travel,Friend(!s),!?%Sunny,15:00,1,1,0,0,1,0,0
12463,Travel,Fa&mi~ly,Sunn~y,11 AM  ,1,0,0,0,1,0,0
3623,Travel,Family,Sunn&y,14:00,1,1,0,0,1,6,0
17411,Work,A l%one,%S%&!unny,6AM  ,1,1,0,0,1,0,0
6550,Work,A&lo~ne,S!unny,7:00,1,0,0,0,1,5,0
14405,Travel,A%?lone,&~%?Sunny,11 AM ,1,0,0,0,1,5,0
12257,Travel,F~?r%ien d(s),Sunny,10  AM,1,0,0,0,1,0,0
12514,Travel,F%riend (s),S!unny,10  AM,1,1,0,0,1,0,0
5589,Travel,Fr?%%i~end(s),~Su~?nny,12:00,1,1,0,0,1,0,0
11052,Travel,F?ri%e&nd(s),Sunn!y,12AM  ,1,1,0,0,1,0,0
5479,Travel,Fri?end(s),Su~nny,17:00,1,1,0,0,1,0,0
2441,Travel,F?ri!%end(s),&Su&&nny,1PM,1,1,0,0,1,0,0
14991,Travel,&%F!%amily,~?S&~unny,10:00,1,0,0,0,1,0,0
5082,Travel,F!ami ly,%S~u?nny,8 AM  ,1,0,0,0,1,0,0
8845,Travel,Family,Sunn!y,9 AM  ,1,1,0,0,1,0,0
18272,Visit,A%lo!ne,Sunny,15:00,1,0,0,1,0,7,1
13010,Visit,Alone,S!un%ny,18:00,1,1,0,0,1,0,0
6954,Work, !&A~lone,S%unny,7:00,1,1,1,0,1,0,0
16487,Work,Alone,Su%~%nny,7  AM  ,1,0,0,1,0,0,1
11248,Work,~  !Alone,S%unny,7  AM  ,1,0,0,0,1,6,0
14972,Travel,A%&%lone,&S!%!unny,11  AM  ,1,0,0,0,1,0,0
12428,Travel,Frie%nd~%(s),!&?Sunny,9:00,1,0,0,0,1,0,0
11315,Travel,Frien?d(s),S?!u?nny,12  AM,1,1,0,0,1,0,0
12124,Travel,Friend(s),Sunny,14:00,1,1,0,0,1,21,0
1339,Travel,Frie nd(s),S%&~unny,15:00,1,1,0,0,1,0,0
11837,Travel,Frien!d(s),Sunn&y,14:00,1,1,0,0,1,20,0
16493,Travel,Family,??Sunny,9:00,1,1,0,0,1,22,0
19005,Visit,  &A%lone,S!un!ny,18:00,1,0,0,1,0,0,1
11976,Visit,Alone,S&un&ny,6PM,1,1,0,0,1,0,0
6600,Work,A?lo?ne,Sunny,6:00,1,0,0,1,0,21,1
1602,Travel,A!lo&ne,S!u~nny,2 PM  ,1,0,0,0,1,13,0
2827,Travel,?F%!%riend(s),Sunn~y,9:00,1,0,0,0,1,15,0
1114,Travel,Fr&i end(s),?&&~Sunny,13:00,1,1,0,0,1,0,0
15293,Travel,&Fri~~end(s),&S~unny,11:00,1,1,0,0,1,0,0
15998,Travel,~ !Fa&mily,Su~!~nny,8 AM ,1,1,0,0,1,0,0
11773,Work,Alon&e,?S~unny,7 AM,1,1,1,0,1,0,0
5311,Work,A?lone,Sunny,7:00,1,0,0,1,0,9,1
14884,Work,A&l&&one,?S&%unny,6AM  ,1,0,0,0,1,12,0
12706,Travel,~Alone,S%u?&nny,13:00,1,0,0,0,1,15,0
13735,Travel,Fr~iend!(s),S&u~nny,10:00,1,0,0,0,1,0,0
15585,Travel,Fr!!i~end(s),S%unny,10 AM,1,1,0,0,1,0,0
19793,Travel,&Fr!ie!nd(s),%%?S!unny,13:00,1,1,0,0,1,0,0
4708,Travel,F r~i&end(s),Su?n?ny,18:00,1,1,0,0,1,0,0
16058,Travel,F~ri end~(s),?Su?nny,12:00,1,1,0,0,1,12,0
14158,Visit,Alone,Sunny,16:00,1,0,0,1,0,12,1
17243,Work,A~lone,%S?%%unny,6:00,1,1,1,0,1,13,0
17159,Work,Alo!~ne,?!Su?nny,6:00,1,1,0,0,1,0,0
4254,Work,~Al& one,?Sunny,7:00,1,0,0,0,1,14,0
11627,Travel,A~lone,Sunny,11:00,1,0,0,0,1,0,0
1174,Travel,F~rie%n~d(s),!Sun!ny,9:00,1,0,0,0,1,0,0
9041,Travel,Friend(s),S%unny,10:00,1,1,0,0,1,0,0
17945,Travel,&F~%ri end(s),~?%S?unny,6 PM,1,1,0,0,1,4,0
8294,Travel,Fr%iend& (s),!Sunny,13:00,1,1,0,0,1,0,0
8011,Travel,Fa!mily,Sunny,8AM  ,1,0,0,0,1,4,0
10316,Travel,!Fa?&?mily,Sunny,9:00,1,0,0,0,1,0,0
13880,Travel,F ~a?mily,Sunny,9:00,1,1,0,0,1,3,0
8582,Travel,Fa &?mily,Sunny,6PM  ,1,0,0,0,1,3,0
18339,Visit,Alone,S%u?nny,18:00,1,0,0,1,0,0,1
14300,Work,Al&one,Sunny,6AM ,1,1,1,0,1,3,0
15857,Work,&!!Alone,~Sun~ny,7:00,1,1,1,0,1,0,0
14576,Work,?!!Alone,&?Su&nny,6:00,1,1,0,0,1,4,0
5509,Work,A %lone,Sun&ny,6  AM  ,1,0,0,1,0,5,1
15043,Travel,%Alone,S&!!~unny,14:00,1,0,0,0,1,5,0
14444,Travel,%Frie&nd(s),~&Sunny,8 AM,1,0,0,0,1,0,0
14648,Travel,Fri?end(s),Sunny,10:00,1,0,0,0,1,5,0
3377,Travel,&Friend%%(s),Sun%ny,2 PM  ,1,0,0,0,1,5,0
2189,Travel,F!r%i%en&d(s),!S%u&nny,13:00,1,1,0,0,1,0,0
3035,Travel,Fr~i~e~%nd(s),&S!!unny,12:00,1,1,0,0,1,0,0
18773,Travel,F% riend (s),!!%%Sunny,13:00,1,1,0,0,1,0,0
12765,Visit,A~lone,S&unny,15:00,1,1,0,0,1,0,0
17404,Visit,Alone,%%S&&unny,15:00,1,0,0,0,1,0,0
2495,Work, %?A~lone,?Su?~nny,6 AM ,1,1,1,0,1,3,0
9118,Work,Al !one,??~Sunny,7:00,1,1,0,0,1,0,0
2694,Work,A%~&%lone,?!Sunny,7:00,1,0,0,0,1,0,0
6205,Travel,A&~!lone,S!u?%nny,12:00,1,0,0,0,1,0,0
17630,Travel,Friend(s~),?Sun~ny,10 AM,1,1,0,0,1,0,0
8455,Travel,Fr i~end(s),!&Sunny,2  PM,1,0,0,0,1,0,0
16712,Travel,Friend(s),Sunn!y,11AM,1,1,0,0,1,0,0
9382,Travel,F?r&%%iend(s),S%%~~unny,13:00,1,1,0,0,1,0,0
9378,Travel,&Friend(s),%~~Sunny,11 AM,1,1,0,0,1,0,0
9136,Travel,Fri~%end(s),%S&!&unny,16:00,1,1,0,0,1,0,0
3717,Travel,Friend(s),Sun!%ny,13:00,1,0,0,0,1,0,0
17422,Travel,Friend(s),%~Sunny,13:00,1,1,0,0,1,81,0
8380,Travel,!%~~Alone,&?!S&unny,8AM  ,1,0,0,0,1,0,0
8849,Visit,? &A%lone,S~unny,5 PM  ,1,0,0,1,0,0,1
16257,Visit,Alo~ne,Su~%nny,5PM ,1,1,0,0,1,88,0
10529,Work,  !A&lone,S?u&~nny,6 AM ,1,1,1,0,1,62,0
19930,Work,!&Alone,&~Su~nny,6AM  ,1,1,0,0,1,0,0
11998,Work,Alon e,~Su~~nny,7AM ,1,0,0,1,0,0,1
13913,Work, %?%Alone,Sunny,6:00,1,0,0,0,1,70,0
18718,Work,!Al&one,S&u%nny,6:00,1,1,0,0,1,0,0
14469,Travel,%%%Alone,Su?nny,12 AM ,1,0,0,0,1,0,0
9546,Travel,Frien?%d(s),Sunny,9:00,1,0,0,0,1,7,0
2128,Travel,Friend(!s),Su~n!ny,8 AM,1,1,0,0,1,0,0
1449,Travel,Frie&n?d!(s),!Su?%nny,14:00,1,0,0,0,1,0,0
3388,Travel,F!rien  !d(s),S%!u%nny,14:00,1,1,0,0,1,10,0
11095,Travel,Friend(s),S%u&nny,14:00,1,1,0,0,1,0,0
14474,Travel,?Friend(s),S~~unny,2PM  ,1,1,0,0,1,11,0
12966,Travel,F%r~ iend(s),Su&n!ny,6PM ,1,0,0,0,1,7,0
14392,Travel,Fri?en%d(s),%?Sunny,3  PM ,1,1,0,0,1,0,0
17439,Travel,%F r%ien?d(s),%S%u~nny,11AM,1,0,0,0,1,0,0
2753,Travel,Friend(s),Sun?ny,1PM  ,1,1,0,0,1,0,0
8093,Travel,!%~?Alone,Su%~nny,9AM ,1,0,0,0,1,12,0
13702,Work,Alone,S%un~ny,7:00,1,1,1,0,1,8,0
16118,Work,A?l%one,Su!nny,7  AM,1,0,0,1,0,11,1
7823,Work,Alo ne,~Sunny,7  AM  ,1,0,0,0,1,0,0
11260,Work, ~!A%lone,~S?!unny,7:00,1,1,0,0,1,6,0
14904,Travel,Alone,Sunny,11AM,1,0,0,0,1,0,0
19235,Travel,&Friend(~s),??~Sunny,10  AM ,1,0,0,0,1,0,0
15944,Travel,Frie!nd(s),~Sun!ny,4  PM  ,1,1,0,0,1,0,0
16732,Travel,Fr?~iend&(s),S~~!unny,11 AM,1,1,0,0,1,0,0
8976,Travel,Fam&?ily,S%unny,9 AM  ,1,0,0,0,1,0,0
19769,Travel,F!%%a!mily,!S!u&nny,15:00,1,0,0,0,1,10,0
12834,Visit,Al%one,Sunny,18:00,1,1,0,0,1,0,0
11960,Work,Alone,~S!&unny,7:00,1,0,0,1,0,0,1
9114,Work,~Alone,&!S!!unny,7:00,1,0,0,0,1,0,0
4743,Travel,F%rien??d(s),~S&u%nny,12  AM,1,1,0,0,1,0,0
8344,Travel,F?%riend%(s),Sunny,14:00,1,0,0,0,1,73,0
1524,Travel,Alone,Sunny,9  AM ,1,0,0,0,1,92,0
12924,Travel,!?Alone,&Su&&nny,14:00,1,0,0,0,1,13,0
9624,Travel,Frie?nd(~s),~!Su%nny,9 AM ,1,0,0,0,1,20,0
19710,Travel,Fr iend(s),S~unny,8:00,1,1,0,0,1,0,0
18820,Travel,Fr&ien?~&d(s),Sunny,11  AM ,1,1,0,0,1,0,0
5323,Travel,F%%rien  d(s),Su~n&ny,11 AM  ,1,1,0,0,1,0,0
15791,Travel,Fri%en~%%d(s),&Su!nny,18:00,1,1,0,0,1,0,0
15442,Travel,Friend(s),S?un~ny,12  AM  ,1,1,0,0,1,14,0
19099,Travel,F?amily,&%?S?unny,8AM ,1,1,0,0,1,0,0
9564,Travel,Fam?%ily,?Sunny,14:00,1,0,0,0,1,0,0
12292,Travel,F?!?a mily,!~&Sunny,12:00,1,1,0,0,1,0,0
12167,Visit, ~ A!lone,S%unny,16:00,1,0,0,1,0,14,1
18911,Visit,Alone,S!u!!nny,5 PM  ,1,1,0,0,1,0,0
14819,Visit,Alo~ne,Sun!ny,6PM,1,0,0,0,1,0,0
9354,Work,Alon?e,Sun%ny,6AM ,1,1,1,0,1,0,0
4044,Work,!%A~lone,Su!nny,6  AM ,1,1,0,0,1,17,0
7971,Work,A&l~one,!?&Sunny,7:00,1,0,0,1,0,0,1
7418,Work,Alone,S!u?nny,7:00,1,0,0,0,1,0,0
7082,Travel,Al?o ne,S~&~unny,11:00,1,0,0,0,1,0,0
10365,Travel,&F riend(s),&S!unny,9  AM ,1,0,0,0,1,2,0
16507,Travel, Fri ~e nd(s),!&~?Sunny,12 AM  ,1,1,0,0,1,0,0
1254,Travel,Friend(s),S!u!nny,17:00,1,1,0,0,1,0,0
4600,Travel,Frie ~nd(s),Sunny,12:00,1,1,0,0,1,0,0
11669,Visit,!&?A~lone,Sunny,15:00,1,1,0,0,1,0,0
19304,Work,A!~ lone,%!%S&unny,6:00,1,1,0,0,1,0,0
5980,Work,!!~Alone,S!unny,6:00,1,0,0,0,1,0,0
4256,Travel,A%l~%one,S%!%unny,2 PM,1,0,0,0,1,36,0
7912,Travel,Frien%d(?s),?%S%~unny,9 AM ,1,0,0,0,1,0,0
2947,Travel,Fr?i?en??d(s),S%!?unny,9:00,1,0,0,0,1,49,0
11719,Travel,%Frie!n!d(s),Su?nny,2 PM  ,1,0,0,0,1,38,0
14919,Travel,F!r~ie~?nd(s),Sunny,2 PM,1,1,0,0,1,0,0
9423,Travel,Friend(s),Sunny,12AM  ,1,1,0,0,1,47,0
15867,Travel,Friend(s ),Sun!ny,11:00,1,1,0,0,1,0,0
1806,Travel,Friend(s),?S%unny,3 PM ,1,0,0,0,1,0,0
2716,Travel,Fri&end(s),Sunny,14:00,1,0,0,0,1,56,0
1417,Travel,Friend(s),Sunny,13:00,1,1,0,0,1,0,0
6228,Travel,Alone,Sunny,8:00,1,0,0,0,1,0,0
2120,Visit,Alone,%%S%unny,15:00,1,0,0,1,0,48,1
18101,Visit,A&lone,%!Su?nny,17:00,1,1,0,0,1,0,0
12476,Visit,Alone,%S%%%unny,6 PM ,1,0,0,0,1,0,0
15197,Work,A&&~%lone,S&un!ny,7:00,1,1,1,0,1,39,0
7393,Work,A?lone,?%S?!unny,6AM,1,1,1,0,1,48,0
5782,Work,?! Alone,S?unny,7:00,1,0,0,0,1,0,0
6596,Work,Alon~e,Sunny,7:00,1,1,0,0,1,49,0
6754,Travel,Alo&ne,~&?S?unny,12AM,1,0,0,0,1,12,0
11570,Travel,Friend(%s),%S!??unny,9:00,1,0,0,0,1,0,0
18332,Travel,Friend(s),S!unny,1 PM  ,1,1,0,0,1,0,0
2184,Travel,%Friend(s),~%Su!nny,17:00,1,1,0,0,1,0,0
17786,Travel,F%%riend!(s),&?Sunny,12 AM ,1,1,0,0,1,0,0
5342,Visit,A ~ lone,Sunny,15:00,1,0,0,1,0,0,1
12926,Work,& &?Alone,?S&unny,6:00,1,1,0,0,1,0,0
